# doc_id=5-SPC-CS14-R0 Carbon Steel Pipe discipline=5 revision=R0
l,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0
,Client Name,,,,,,,,,,,,,,,,,,,,Specification,,,,,,,,,,,,,,,,,,,,Aker Kvaerner,,,,,,,,,,,,,,,,,,,
,Project Title,,,,,,,,,,,,,,,,,,,,Carbon Steel Pipe,,,,,,,,,,,,,,,,,,,,Chemetics,,,,,,,,,,,,,,,,,,,
,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Division of Aker Kvaerner Canada Inc.,,,,,,,,,,,,,,,,,,,
,Client Document Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard-5-SPC-CS14-R0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,B,,R,,A,,N,,C,,H,,,,S,,I,,Z,,E,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.5,,0.75,,1.0,,1.25,,1.5,,2.0,,3.0,,4.0,,6.0,,8.0,,10.0,,12.0,,14.0,,16.0,,18.0,,20.0,,24.0,,,,,,,,,,,,,,,
,,,,,,,,,,,24.0,,C,,C,,C,,C,,C,,S2,,S2,,S2,,S2,,S3,,S3,,S4,,S4,,S5,,S6,,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,,,20.0,,C,,C,,C,,C,,C,,S2,,S2,,S2,,S2,,S2,,S2,,S3,,S3,,S4,,R,,T,,,,,,,,,,,,,,,,,
,,,,,,,,,,,18.0,,C,,C,,C,,C,,C,,S2,,S2,,S2,,S2,,S2,,S2,,S2,,S2,,R,,T,,,,,,,,,,,,,,,,,,,
,,,,,,,,,H,,16.0,,C,,C,,C,,C,,C,,S2,,S2,,S2,,S2,,S2,,S2,,S2,,R,,T,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,E,,14.0,,C,,C,,C,,C,,C,,S2,,S2,,S2,,S2,,S2,,S2,,R,,T,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,A,,12.0,,C,,C,,C,,C,,C,,S2,,S2,,S2,,S2,,S2,,R,,T,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,10.0,,C,,C,,C,,C,,C,,S,,S,,S,,S,,R,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,E,,8.0,,C,,C,,C,,C,,C,,S,,S,,S,,R,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R,,6.0,,C,,C,,C,,C,,C,,S,,S,,R,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,4.0,,C,,C,,C,,C,,C,,S,,R,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,S,,3.0,,C,,C,,C,,C,,C,,R,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,I,,2.0,,C,,R,,R,,R,,R,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Z,,1.5,,R,,R,,R,,R,,T,,,,,,,,,,,,,,LEGEND:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,E,,1.25,,R,,R,,R,,T,,,,,,,,,,,,,,,,C =,Coupling,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.0,,R,,R,,T,,,,,,,,,,,,,,,,,,R =,Reducing Tee,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.75,,R,,T,,,,,,,,,,,,,,,,,,,,T =,Straight Tee,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.5,,T,,,,,,,,,,,,,,,,,,,,,,S =,"Stub-in, unreinforced",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SX =,"Stub-in, reinforced with X in. wide repad (same thickness as header pipe)",,,,,,,,,,,,,,,,,,,,,,,,
,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,This table defines allowable branch connections.  Substitutions are permitted subject to Aker Kvaerner approval.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,"All branch connections will be in accordance with ASME B31.3.  In the event of a conflict between B31.3 and this specification, B31.3 will govern.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,This table applies to branch connections made at 90º only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0,Branch will not intersect with longitudinal weld of the run.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
