# doc_id=5-SPC-NI1-R0 Nickel Pipe discipline=5 revision=R0
l,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0
,Client Name,,,,,,,,,,,,,,,,,,,,Specification,,,,,,,,,,,,,,,,,,,,Aker Kvaerner,,,,,,,,,,,,,,,,,,,
,Project Title,,,,,,,,,,,,,,,,,,,,Nickel Pipe,,,,,,,,,,,,,,,,,,,,Chemetics,,,,,,,,,,,,,,,,,,,
,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Division of Aker Kvaerner Canada Inc.,,,,,,,,,,,,,,,,,,,
,Client Document Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard-5-SPC-NI1-R0,,,,,,,,,,,,,,,,,,,
,Rev:,,Date:,,,,,Status:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prepared By:,,,,,,,Checked By:,,,,,,,Approved By:,,,,,,
,0.0,,39230.0,,,,,Comments Requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R. Naik,,,,,,,T. Wacker,,,,,,,D. Shaw,,,,,,
,SERVICE LIMITS,,,,,,Temp.:,,,,°C,,,-29 to 204,,,,,,,,204,,,,,,,,,,,,,,,,,,,,,,,,,,CORROSION ALLOWANCE,,,,,,,,,,None,,
,,,,,,,Press.:,,,,kPag,,,800.0,,,,,,,,FV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIPE SIZE
(mm)",,,,,,Nominal (DN),,,,,,15,,20.0,,25.0,,32.0,,40.0,,50.0,,80.0,,100.0,,150.0,,200.0,,250.0,,300.0,,350.0,,400.0,,450.0,,500.0,,600.0,,,,,,,,,,,,,,,
,,,,,,,Wall Thickness,,,,,,Schedule 10S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PIPE,,,,,,Type,,,,,,ASME B36.19M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM B 161 UNS N02200 Annealed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FITTINGS,,,,,,Type,,,,,,Butt Weld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rating,,,,,,"ASME B16.9, Schedule 10S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Stub End,,,,,,"MSS SP-43 Type A, Schedule 10S (3mm minimum face ring thickness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM B 366 Gr. WPN (UNS N02200),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLANGES,,,,,,Type/Rating,,,,,,LJ/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spec. Break,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,"ASTM A 105, hot dip galvanized to ASTM A 153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Blind,,,,,,RF/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,"ASTM A 105, hot dip galvanized to ASTM A 153 c/w 3mm Nickel liner (Note 3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GASKETS,,,,,,Style,,,,,,"IBC, See 5-SPC-0003: Gaskets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FASTENERS,,,,,,Type,,,,,,See 5-SPC-0002: Bolting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VALVES,,,,,,Type/Rating,,,,,,RF Flanged/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IN-LINE ITEMS,,,,,,Type/Rating,,,,,,RF Flanged/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
